Entity,Code,Day,"Death rate (weekly) of unvaccinated people - United States, by age","Death rate (weekly) of fully vaccinated people (without bivalent booster) - United States, by age"
0.5-4,Unknown,2022-08-06,0.09652821,0.0
0.5-4,Unknown,2022-08-13,0.019467877,0.0
0.5-4,Unknown,2022-08-20,0.0,0.0
0.5-4,Unknown,2022-08-27,0.07904275,0.0
0.5-4,Unknown,2022-09-03,0.039777398,0.0
0.5-4,Unknown,2022-09-10,0.019980619,0.0
0.5-4,Unknown,2022-09-17,0.020094477,0.0
0.5-4,Unknown,2022-09-24,0.020941379,0.0
0.5-4,Unknown,2022-10-01,0.020299792,0.0
0.5-4,Unknown,2022-10-08,0.0,0.0
0.5-4,Unknown,2022-10-15,0.0,0.0
0.5-4,Unknown,2022-10-22,0.06170473,0.0
0.5-4,Unknown,2022-10-29,0.02065846,0.0
0.5-4,Unknown,2022-11-05,0.0,0.0
0.5-4,Unknown,2022-11-12,0.020828664,0.0
